,0,1,2,3
0,10,09,17,12
1,9,12,24,14
2,17,09,8,13
3,17,09,3,15
4,17,07,23,10
5,9,14,17,15
6,2,08,8,14
7,23,11,10,11
8,1,08,3,09
9,16,16,29,16
10,15,09,9,16
11,2,09,1,15
12,22,07,12,12
13,16,11,19,20
14,1,12,4,14
15,16,12,19,13
16,4,10,10,10
17,15,11,17,12
18,29,09,19,11
19,9,12,3,14
20,15,11,17,12
21,29,11,2,12
22,18,12,29,14
23,29,07,9,12
24,15,06,17,09
25,19,09,10,20
26,1,07,3,09
27,3,06,29,06
28,9,09,18,14
29,8,01,11,06
30,11,09,4,09
31,15,11,16,16
32,19,18,16,18
33,8,12,19,18
34,23,04,17,04
35,29,09,24,14
36,3,10,1,15
37,15,13,23,14
38,9,09,1,15
39,29,19,3,20
40,8,11,13,20
41,28,12,17,15
42,8,03,29,04
43,12,12,3,18
44,7,08,20,12
45,14,11,9,20
46,14,13,29,21
47,15,13,29,13
48,10,16,15,16
49,19,07,2,13
50,15,07,2,08
51,12,10,3,10
52,8,08,19,10
53,1,20,3,01
54,29,09,15,16
55,10,10,7,15
56,17,08,29,09
57,4,09,22,12
58,18,14,15,16
59,23,08,8,17
60,19,09,13,11
61,1,03,4,09
62,17,06,9,08
63,18,18,11,19
64,3,12,9,12
65,18,10,8,12
66,23,05,2,05
67,9,05,19,05
68,15,14,9,14
69,19,15,16,16
70,8,10,9,11
71,19,12,9,13
72,9,11,23,11
73,19,15,17,15
74,28,12,14,14
75,19,15,16,15
76,29,14,18,15
77,28,13,19,15
78,18,12,29,13
79,8,13,18,13
80,29,13,4,13
81,3,11,24,13
82,8,11,15,12
83,1,13,23,14
84,29,09,24,13
85,29,12,1,12
86,19,07,15,07
87,8,12,9,19
88,24,13,4,15
89,15,12,4,13
90,15,14,9,15
91,4,12,9,18
92,3,13,11,18
93,28,12,16,14
94,18,08,16,10
95,19,05,12,09
96,1,22,29,22
97,29,07,3,19
98,9,09,29,11
99,29,09,9,10
100,10,04,23,10
101,8,13,28,13
102,19,08,28,21
103,23,11,3,13
104,2,11,17,16
105,10,22,23,22
106,10,09,9,16
107,28,21,9,23
108,29,12,17,15
109,29,12,3,15
110,18,10,8,10
111,4,14,1,16
112,22,12,15,16
113,13,12,8,16
114,11,10,15,19
115,15,08,17,09
116,13,09,8,09
117,13,04,29,09
118,3,09,9,13
119,3,14,19,16
120,13,09,16,13
121,1,07,3,07
122,18,16,29,16
123,4,14,15,16
124,29,09,8,16
125,9,11,1,17
126,24,03,1,06
127,19,11,1,20
128,9,08,15,17
129,19,22,18,22
130,1,22,23,22
131,1,08,2,14
132,17,10,19,13
133,11,06,3,09
134,29,12,9,12
135,8,21,1,21
136,19,06,9,08
137,19,18,8,18
138,11,08,19,08
139,8,06,11,06
140,9,09,24,10
141,9,05,19,18
142,16,10,4,13
143,18,05,8,11
144,1,22,11,04
145,10,08,9,13
146,1,23,19,04
147,9,07,8,08
148,8,05,13,06
149,2,15,23,15
150,18,20,24,23
151,1,17,18,23
152,15,14,12,15
153,15,11,17,14
154,9,16,15,17
155,9,14,17,15
156,3,11,15,13
157,18,10,3,12
158,16,07,20,12
159,18,07,9,12
160,8,09,18,10
161,28,11,15,12
162,28,08,15,12
163,17,07,29,11
164,29,12,28,14
165,8,20,4,20
166,20,05,22,10
167,3,03,10,06
168,28,18,9,19
169,18,13,3,13
170,9,09,10,13
171,29,11,19,13
172,9,07,18,13
173,9,05,15,14
174,18,10,29,11
175,9,11,3,14
176,3,11,15,13
177,19,10,8,10
178,11,19,9,21
179,9,12,2,13
180,3,06,11,12
181,19,10,24,12
182,19,08,1,09
183,4,10,19,11
184,3,16,28,01
185,29,17,13,18
186,8,03,29,06
187,9,11,22,12
188,29,07,8,12
189,10,09,3,11
190,1,12,8,16
191,8,10,24,12
192,19,09,15,15
193,1,11,3,12
194,23,07,3,11
195,3,08,29,20
196,29,12,8,12
197,28,11,23,14
198,3,06,19,13
199,9,08,1,09
200,9,15,20,19
201,1,09,16,19
202,2,09,10,14
203,16,12,17,16
204,4,09,8,13
205,15,08,8,12
206,9,11,3,19
207,23,07,11,17
208,17,10,1,11
209,8,08,28,13
210,4,11,17,18
211,23,09,29,15
212,17,15,4,15
213,2,08,17,15
214,29,14,16,15
215,15,15,28,16
216,13,10,28,17
217,8,03,4,09
218,23,08,2,14
219,18,22,3,22
220,1,09,18,19
221,4,06,1,14
222,1,07,15,16
223,15,08,9,08
224,3,07,12,12
225,9,04,20,11
226,9,10,29,11
227,18,06,15,13
228,17,09,29,13
229,4,17,9,17
230,9,12,15,12
231,1,22,29,22
232,15,07,9,13
233,29,08,8,11
234,7,08,3,10
235,23,07,12,14
236,12,09,15,12
237,12,12,3,15
238,23,11,10,13
239,29,08,18,13
240,4,09,16,14
241,1,02,17,10
242,29,08,9,13
243,8,08,28,13
244,18,13,3,15
245,19,06,8,10
246,9,11,7,14
247,8,08,16,09
248,1,05,24,10
249,18,05,7,08
250,3,18,8,18
251,8,02,9,04
252,18,08,23,08
253,9,03,19,05
254,8,13,4,15
255,23,08,9,08
256,9,12,1,15
257,29,12,8,17
258,9,09,1,09
259,3,12,16,12
260,19,00,22,04
261,29,03,18,05
262,29,04,28,06
263,9,13,29,15
264,15,09,3,09
265,15,07,17,10
266,10,17,28,19
267,2,08,10,09
268,15,07,19,10
269,19,07,17,14
270,29,06,8,13
271,1,12,19,13
272,8,22,29,01
273,29,15,3,21
274,23,17,2,19
275,3,17,9,23
276,3,12,23,14
277,19,06,3,08
278,9,16,19,19
279,4,09,18,10
280,9,10,3,12
281,12,08,8,13
282,19,06,3,10
283,29,01,28,05
284,15,03,19,03
285,1,14,8,15
286,16,13,8,16
287,8,08,16,15
288,15,07,23,10
289,1,05,3,10
290,15,14,4,20
291,2,13,15,13
292,8,07,16,09
293,9,07,8,11
294,3,07,9,07
295,15,10,9,11
296,9,12,2,12
297,8,09,11,11
298,1,00,3,04
299,4,00,18,05
300,19,05,29,05
301,29,13,10,15
302,23,06,8,08
303,8,10,1,11
304,9,17,16,19
305,1,22,9,22
306,9,11,11,16
307,9,16,29,19
308,9,08,1,08
309,23,09,1,14
310,19,20,1,05
311,29,10,3,13
312,19,08,22,09
313,15,13,9,14
314,9,09,3,14
315,29,18,8,19
316,28,17,9,20
317,1,09,19,17
318,15,07,8,16
319,9,13,1,14
320,9,09,8,15
321,9,10,8,10
322,8,18,12,20
323,1,12,9,15
324,1,11,29,19
325,1,11,15,12
326,8,13,19,14
