,0,1,2,3
0,20,13,2,17
1,13,09,2,13
2,2,11,16,13
3,2,06,26,14
4,28,11,13,12
5,11,10,28,18
6,2,07,14,12
7,9,10,15,11
8,12,14,1,15
9,19,06,28,08
10,12,06,2,13
11,28,12,16,16
12,1,09,21,11
13,13,02,16,06
14,9,13,2,15
15,1,17,2,21
16,2,21,21,21
17,16,21,26,21
18,17,22,27,22
19,15,21,26,21
20,1,13,2,13
21,26,11,2,18
22,13,02,20,09
23,21,05,11,12
24,21,09,16,14
25,1,05,12,13
26,25,13,12,16
27,11,08,26,14
28,28,09,20,10
29,20,11,12,12
30,2,09,11,09
31,21,13,2,16
32,2,10,1,11
33,2,09,20,12
34,21,11,16,11
35,21,02,2,03
36,2,08,22,10
37,1,22,2,22
38,16,11,13,15
39,1,15,6,16
40,13,10,28,14
41,1,03,28,03
42,1,07,9,08
43,29,05,12,05
44,10,10,26,10
45,15,10,25,15
46,10,13,25,16
47,2,07,1,08
48,25,10,2,18
49,15,13,19,15
50,21,10,15,13
51,29,11,2,14
52,10,09,26,11
53,26,09,20,13
54,11,01,9,06
55,16,08,21,09
56,1,10,2,13
57,26,00,9,02
58,13,04,26,09
59,1,21,20,21
60,2,08,21,12
61,2,10,26,11
62,11,16,28,18
63,13,08,12,15
64,11,08,2,10
65,2,14,10,16
66,16,09,21,11
67,12,04,2,05
68,20,14,1,15
69,9,10,15,12
70,9,11,1,20
71,1,05,6,16
72,10,09,21,12
73,2,10,12,16
74,21,13,20,20
75,2,10,28,15
76,16,08,12,11
77,13,12,11,14
78,19,14,26,16
79,8,15,16,16
80,15,21,12,21
81,20,13,2,15
82,20,14,16,14
83,21,08,11,10
84,11,08,10,17
85,1,04,13,06
86,1,15,20,17
87,20,11,16,12
88,21,13,2,17
89,1,13,11,17
90,1,10,2,10
91,26,14,20,17
92,13,11,28,16
93,2,15,13,17
94,21,13,2,14
95,16,09,20,13
96,16,09,20,13
97,2,07,21,08
98,10,13,2,00
99,10,09,15,09
100,2,08,13,09
101,2,10,21,11
102,26,11,2,13
103,21,11,2,18
104,16,09,1,13
105,15,09,9,10
106,16,08,2,09
107,27,08,26,13
108,2,07,13,08
109,16,12,1,14
110,26,17,28,18
111,13,13,21,14
