,0,1,2,3
0,81,12,55,13
1,40,09,14,16
2,40,09,32,10
3,16,05,22,05
4,23,12,3,18
5,41,09,50,18
6,82,09,84,13
7,41,06,84,10
8,71,21,27,08
9,9,13,81,14
10,78,05,71,17
11,50,16,40,01
12,2,13,15,17
13,2,06,71,15
14,71,06,0,10
15,21,04,44,10
16,15,13,40,13
17,17,09,9,09
18,71,15,32,16
19,71,09,85,10
20,74,08,76,08
21,46,13,8,15
22,2,05,75,12
23,50,12,9,16
24,15,15,32,17
25,9,15,19,23
26,32,10,8,10
27,44,10,43,10
28,2,07,0,12
29,71,10,9,10
30,41,16,71,18
31,50,17,35,17
32,44,11,9,11
33,27,14,71,15
34,12,07,44,14
35,73,05,2,07
36,85,05,25,09
37,82,09,26,10
38,71,10,84,14
39,15,11,13,13
40,4,13,81,15
41,15,06,71,06
42,81,02,45,06
43,45,07,85,09
44,35,23,78,01
45,71,07,41,12
46,72,12,57,17
47,4,21,32,01
48,82,00,71,01
49,71,05,31,06
50,35,04,63,05
51,69,09,27,13
52,76,14,68,21
53,39,20,78,21
54,68,17,85,18
55,71,14,81,17
56,84,12,50,13
57,45,13,15,16
58,71,06,81,17
59,32,08,51,13
60,49,07,23,11
61,44,00,0,03
62,71,06,41,08
63,27,06,9,08
64,26,09,45,12
65,9,11,39,12
66,71,08,81,13
67,35,12,71,14
68,45,09,0,09
69,22,15,41,17
70,17,11,13,11
71,71,13,45,14
72,81,13,15,15
73,82,12,15,14
74,9,20,35,22
75,40,22,36,22
76,4,19,35,20
77,23,04,13,04
78,35,12,81,14
79,71,08,75,12
80,31,22,40,22
81,23,14,35,15
82,35,07,0,11
83,19,07,4,13
84,22,09,16,10
85,73,06,19,06
86,67,11,22,16
87,14,17,84,19
88,81,11,2,13
89,41,10,9,13
90,41,08,26,15
91,82,08,25,12
92,24,04,82,14
93,46,20,71,20
94,85,03,25,17
95,35,23,14,23
96,9,10,32,11
97,13,04,39,05
98,31,23,32,00
99,26,23,71,03
100,50,07,81,16
101,81,08,50,09
102,84,04,22,04
103,31,17,23,19
104,22,09,40,11
105,50,06,22,10
106,42,04,25,11
107,82,03,15,03
108,42,06,50,08
109,32,09,57,13
110,50,09,63,09
111,27,10,36,14
112,15,13,8,13
113,32,14,24,17
114,18,13,14,18
115,44,11,71,12
116,46,03,82,03
117,60,23,10,00
118,17,19,36,22
119,82,12,45,14
120,27,06,13,10
121,19,19,74,10
122,71,09,9,11
123,4,07,31,09
124,9,15,68,16
125,71,19,20,06
126,71,08,51,17
127,32,09,27,16
128,50,13,41,21
129,27,12,82,16
130,26,15,45,17
131,18,12,32,14
132,16,11,32,12
133,50,10,2,16
134,23,09,70,13
