,0,1,2,3
0,21,17,6,17
1,21,16,3,17
2,2,08,8,13
3,22,05,2,15
4,20,08,21,11
5,10,16,21,17
6,6,03,5,09
7,23,15,20,19
8,20,03,8,05
9,8,11,21,16
10,2,11,28,19
11,5,15,21,19
12,2,07,8,17
13,10,10,7,15
14,8,10,5,18
15,8,14,5,21
16,2,02,8,06
17,15,06,6,13
18,25,09,20,20
19,5,21,7,03
20,5,11,24,18
21,20,16,8,04
22,8,07,10,13
23,20,10,6,15
24,24,08,21,16
25,20,09,5,16
26,5,06,1,08
27,1,05,20,14
28,21,06,20,12
29,20,08,15,13
30,18,05,6,11
31,20,11,6,19
32,5,04,6,10
33,22,20,21,20
34,28,11,20,13
35,20,06,3,15
36,8,12,1,16
37,6,14,21,19
38,16,22,6,22
39,1,10,28,17
40,5,10,21,17
41,21,11,20,15
42,22,11,5,19
43,15,06,8,11
44,20,12,2,16
45,5,09,22,13
46,8,04,6,15
