,0,1,2,3,4,5,6,7,8
0,2,20,16,21,2,<pad>,<pad>,<pad>,<pad>
1,1,13,21,2,<pad>,<pad>,<pad>,<pad>,<pad>
2,1,2,21,16,<pad>,<pad>,<pad>,<pad>,<pad>
3,2,2,10,21,26,<pad>,<pad>,<pad>,<pad>
4,1,28,2,13,<pad>,<pad>,<pad>,<pad>,<pad>
5,3,11,26,25,20,28,<pad>,<pad>,<pad>
6,4,2,16,1,12,21,14,<pad>,<pad>
7,1,9,10,15,<pad>,<pad>,<pad>,<pad>,<pad>
8,3,12,20,16,21,1,<pad>,<pad>,<pad>
9,1,19,11,28,<pad>,<pad>,<pad>,<pad>,<pad>
10,3,12,1,16,21,2,<pad>,<pad>,<pad>
11,1,28,11,16,<pad>,<pad>,<pad>,<pad>,<pad>
12,1,1,2,21,<pad>,<pad>,<pad>,<pad>,<pad>
13,2,13,2,21,16,<pad>,<pad>,<pad>,<pad>
14,1,9,26,2,<pad>,<pad>,<pad>,<pad>,<pad>
15,1,1,16,2,<pad>,<pad>,<pad>,<pad>,<pad>
16,2,2,9,10,21,<pad>,<pad>,<pad>,<pad>
17,1,16,21,26,<pad>,<pad>,<pad>,<pad>,<pad>
18,1,17,26,27,<pad>,<pad>,<pad>,<pad>,<pad>
19,1,15,25,26,<pad>,<pad>,<pad>,<pad>,<pad>
20,1,1,21,2,<pad>,<pad>,<pad>,<pad>,<pad>
21,1,26,19,2,<pad>,<pad>,<pad>,<pad>,<pad>
22,1,13,2,20,<pad>,<pad>,<pad>,<pad>,<pad>
23,1,21,2,11,<pad>,<pad>,<pad>,<pad>,<pad>
24,6,21,2,7,13,28,11,12,16
25,5,1,11,26,25,29,28,12,<pad>
26,1,25,10,12,<pad>,<pad>,<pad>,<pad>,<pad>
27,1,11,12,26,<pad>,<pad>,<pad>,<pad>,<pad>
28,1,28,12,20,<pad>,<pad>,<pad>,<pad>,<pad>
29,1,20,2,12,<pad>,<pad>,<pad>,<pad>,<pad>
30,1,2,13,11,<pad>,<pad>,<pad>,<pad>,<pad>
31,1,21,5,2,<pad>,<pad>,<pad>,<pad>,<pad>
32,1,2,16,1,<pad>,<pad>,<pad>,<pad>,<pad>
33,1,2,26,20,<pad>,<pad>,<pad>,<pad>,<pad>
34,1,21,2,16,<pad>,<pad>,<pad>,<pad>,<pad>
35,1,21,16,2,<pad>,<pad>,<pad>,<pad>,<pad>
36,1,2,13,22,<pad>,<pad>,<pad>,<pad>,<pad>
37,1,1,16,2,<pad>,<pad>,<pad>,<pad>,<pad>
38,1,16,14,13,<pad>,<pad>,<pad>,<pad>,<pad>
39,2,1,21,16,6,<pad>,<pad>,<pad>,<pad>
40,1,13,20,28,<pad>,<pad>,<pad>,<pad>,<pad>
41,1,1,16,28,<pad>,<pad>,<pad>,<pad>,<pad>
42,2,1,28,20,9,<pad>,<pad>,<pad>,<pad>
