,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,3.0,1.0,4.0,3.0,6.0,6.0,5.0,12.0,18.0,27.0,16.0,30.0,22.0,12.0,7.0,12.0,5.0,7.0,1.0,1.0,4.0,5.0,6.0,2.0
2,1.0,1.0,0.0,2.0,0.0,1.0,1.0,4.0,5.0,8.0,7.0,8.0,9.0,9.0,9.0,4.0,4.0,0.0,1.0,3.0,0.0,1.0,3.0,2.0
3,1.0,3.0,1.0,1.0,3.0,0.0,5.0,4.0,10.0,13.0,17.0,23.0,23.0,13.0,11.0,8.0,7.0,4.0,3.0,3.0,1.0,3.0,3.0,0.0
4,2.0,0.0,1.0,2.0,0.0,2.0,3.0,6.0,6.0,14.0,9.0,13.0,18.0,17.0,9.0,9.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,1.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,3.0,1.0,6.0,4.0,2.0,4.0,7.0,16.0,17.0,20.0,13.0,13.0,25.0,15.0,13.0,16.0,10.0,8.0,2.0,2.0,5.0,2.0,0.0
9,0.0,4.0,1.0,3.0,6.0,10.0,2.0,13.0,29.0,32.0,30.0,35.0,41.0,37.0,15.0,29.0,15.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0
10,0.0,1.0,0.0,0.0,3.0,0.0,5.0,3.0,3.0,10.0,6.0,7.0,7.0,7.0,10.0,5.0,6.0,4.0,3.0,0.0,3.0,5.0,2.0,0.0
11,1.0,0.0,0.0,1.0,2.0,2.0,8.0,2.0,4.0,10.0,7.0,15.0,6.0,6.0,4.0,2.0,4.0,9.0,1.0,3.0,0.0,3.0,5.0,1.0
12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,6.0,1.0,3.0,6.0,1.0,3.0,8.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0
13,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,1.0,0.0,3.0,3.0,2.0,3.0,9.0,15.0,13.0,10.0,11.0,25.0,23.0,21.0,15.0,18.0,10.0,3.0,8.0,1.0,2.0,2.0,0.0
16,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,12.0,8.0,11.0,12.0,11.0,7.0,11.0,9.0,5.0,3.0,4.0,2.0,1.0,0.0,0.0
17,1.0,1.0,0.0,1.0,2.0,2.0,3.0,6.0,5.0,13.0,15.0,8.0,16.0,5.0,6.0,19.0,4.0,3.0,5.0,1.0,2.0,0.0,1.0,2.0
18,0.0,0.0,0.0,0.0,1.0,6.0,3.0,3.0,7.0,7.0,14.0,6.0,12.0,16.0,10.0,6.0,6.0,4.0,3.0,4.0,1.0,3.0,3.0,1.0
19,2.0,2.0,3.0,2.0,2.0,7.0,7.0,7.0,10.0,13.0,15.0,12.0,13.0,18.0,17.0,11.0,12.0,7.0,6.0,3.0,4.0,1.0,4.0,3.0
20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,4.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
23,0.0,1.0,1.0,0.0,1.0,1.0,3.0,6.0,8.0,6.0,12.0,15.0,2.0,8.0,8.0,4.0,3.0,3.0,0.0,2.0,2.0,1.0,3.0,0.0
24,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,6.0,7.0,4.0,5.0,6.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,4.0,12.0,7.0,9.0,4.0,3.0,1.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0
29,2.0,4.0,2.0,4.0,5.0,4.0,5.0,17.0,21.0,42.0,34.0,34.0,22.0,23.0,12.0,19.0,10.0,8.0,9.0,10.0,3.0,5.0,5.0,0.0
