0,1,2,3
10,9,17,12
9,12,24,14
17,9,8,13
17,9,3,15
9,14,17,15
2,8,8,14
23,11,10,11
1,8,3,9
15,9,9,16
16,11,19,20
1,12,4,14
16,12,19,13
4,10,10,10
15,11,17,12
29,9,19,11
9,12,3,14
15,11,17,12
29,11,2,12
18,12,29,14
29,7,9,12
15,6,17,9
1,7,3,9
3,6,29,6
9,9,18,14
8,1,11,6
11,9,4,9
19,18,16,18
8,12,19,18
29,9,24,14
3,10,1,15
15,13,23,14
9,9,1,15
29,19,3,20
8,11,13,20
8,3,29,4
12,12,3,18
15,13,29,13
15,7,2,8
12,10,3,10
8,8,19,10
1,20,3,1
29,9,15,16
17,8,29,9
18,14,15,16
23,8,8,17
1,3,4,9
3,12,9,12
18,10,8,12
23,5,2,5
9,5,19,5
15,14,9,14
19,15,16,16
8,10,9,11
19,12,9,13
9,11,23,11
19,15,17,15
28,12,14,14
19,15,16,15
29,14,18,15
18,12,29,13
8,13,18,13
29,13,4,13
8,11,15,12
1,13,23,14
29,9,24,13
29,12,1,12
19,7,15,7
8,12,9,19
24,13,4,15
15,12,4,13
15,14,9,15
4,12,9,18
3,13,11,18
28,12,16,14
18,8,16,10
1,22,29,22
29,7,3,19
9,9,29,11
29,9,9,10
10,4,23,10
8,13,28,13
19,8,28,21
23,11,3,13
2,11,17,16
10,22,23,22
10,9,9,16
28,21,9,23
29,12,17,15
29,12,3,15
18,10,8,10
4,14,1,16
22,12,15,16
13,12,8,16
15,8,17,9
13,9,8,9
13,4,29,9
3,9,9,13
3,14,19,16
1,7,3,7
18,16,29,16
4,14,15,16
29,9,8,16
9,11,1,17
19,11,1,20
9,8,15,17
19,22,18,22
1,22,23,22
1,8,2,14
17,10,19,13
29,12,9,12
8,21,1,21
19,6,9,8
19,18,8,18
11,8,19,8
8,6,11,6
9,9,24,10
9,5,19,18
18,5,8,11
1,22,11,4
10,8,9,13
1,23,19,4
9,7,8,8
8,5,13,6
2,15,23,15
1,17,18,23
15,14,12,15
15,11,17,14
9,16,15,17
9,14,17,15
3,11,15,13
18,10,3,12
18,7,9,12
8,9,18,10
28,11,15,12
28,8,15,12
17,7,29,11
29,12,28,14
8,20,4,20
3,3,10,6
28,18,9,19
18,13,3,13
9,9,10,13
29,11,19,13
9,7,18,13
9,5,15,14
18,10,29,11
9,11,3,14
3,11,15,13
19,10,8,10
9,12,2,13
3,6,11,12
19,8,1,9
4,10,19,11
3,16,28,1
29,17,13,18
8,3,29,6
9,11,22,12
29,7,8,12
10,9,3,11
1,12,8,16
19,9,15,15
1,11,3,12
23,7,3,11
3,8,29,20
29,12,8,12
28,11,23,14
3,6,19,13
9,8,1,9
9,15,20,19
1,9,16,19
2,9,10,14
4,9,8,13
15,8,8,12
9,11,3,19
23,7,11,17
17,10,1,11
8,8,28,13
17,15,4,15
2,8,17,15
29,14,16,15
15,15,28,16
13,10,28,17
8,3,4,9
23,8,2,14
18,22,3,22
1,9,18,19
4,6,1,14
1,7,15,16
15,8,9,8
9,4,20,11
9,10,29,11
18,6,15,13
17,9,29,13
4,17,9,17
9,12,15,12
1,22,29,22
15,7,9,13
29,8,8,11
12,9,15,12
12,12,3,15
23,11,10,13
29,8,18,13
4,9,16,14
29,8,9,13
8,8,28,13
18,13,3,15
19,6,8,10
8,8,16,9
1,5,24,10
3,18,8,18
8,2,9,4
9,3,19,5
8,13,4,15
23,8,9,8
9,12,1,15
29,12,8,17
9,9,1,9
3,12,16,12
19,0,22,4
29,3,18,5
29,4,28,6
9,13,29,15
15,7,17,10
2,8,10,9
15,7,19,10
19,7,17,14
29,6,8,13
1,12,19,13
8,22,29,1
29,15,3,21
23,17,2,19
3,17,9,23
3,12,23,14
19,6,3,8
9,16,19,19
4,9,18,10
9,10,3,12
19,6,3,10
29,1,28,5
15,3,19,3
1,14,8,15
8,8,16,15
15,7,23,10
1,5,3,10
15,14,4,20
2,13,15,13
8,7,16,9
9,7,8,11
3,7,9,7
15,10,9,11
9,12,2,12
8,9,11,11
1,0,3,4
4,0,18,5
19,5,29,5
29,13,10,15
23,6,8,8
8,10,1,11
9,17,16,19
1,22,9,22
9,16,29,19
9,8,1,8
23,9,1,14
19,20,1,5
29,10,3,13
19,8,22,9
15,13,9,14
9,9,3,14
29,18,8,19
28,17,9,20
1,9,19,17
15,7,8,16
9,13,1,14
9,9,8,15
