0,1,2,3
10,09,17,12
9,12,24,14
17,09,8,13
17,09,3,15
17,07,23,10
9,14,17,15
2,08,8,14
23,11,10,11
1,08,3,09
16,16,29,16
15,09,9,16
2,09,1,15
22,07,12,12
16,11,19,20
1,12,4,14
16,12,19,13
4,10,10,10
15,11,17,12
29,09,19,11
9,12,3,14
15,11,17,12
29,11,2,12
18,12,29,14
29,07,9,12
15,06,17,09
19,09,10,20
1,07,3,09
3,06,29,06
9,09,18,14
8,01,11,06
11,09,4,09
15,11,16,16
19,18,16,18
8,12,19,18
23,04,17,04
29,09,24,14
3,10,1,15
15,13,23,14
9,09,1,15
29,19,3,20
8,11,13,20
28,12,17,15
8,03,29,04
12,12,3,18
7,08,20,12
14,11,9,20
14,13,29,21
15,13,29,13
10,16,15,16
19,07,2,13
15,07,2,08
12,10,3,10
8,08,19,10
1,20,3,01
29,09,15,16
10,10,7,15
17,08,29,09
4,09,22,12
18,14,15,16
23,08,8,17
19,09,13,11
1,03,4,09
17,06,9,08
18,18,11,19
3,12,9,12
18,10,8,12
23,05,2,05
9,05,19,05
15,14,9,14
19,15,16,16
8,10,9,11
19,12,9,13
9,11,23,11
19,15,17,15
28,12,14,14
19,15,16,15
29,14,18,15
28,13,19,15
18,12,29,13
8,13,18,13
29,13,4,13
3,11,24,13
8,11,15,12
1,13,23,14
29,09,24,13
29,12,1,12
19,07,15,07
8,12,9,19
24,13,4,15
15,12,4,13
15,14,9,15
4,12,9,18
3,13,11,18
28,12,16,14
18,08,16,10
19,05,12,09
1,22,29,22
29,07,3,19
9,09,29,11
29,09,9,10
10,04,23,10
8,13,28,13
19,08,28,21
23,11,3,13
2,11,17,16
10,22,23,22
10,09,9,16
28,21,9,23
29,12,17,15
29,12,3,15
18,10,8,10
4,14,1,16
22,12,15,16
13,12,8,16
11,10,15,19
15,08,17,09
13,09,8,09
13,04,29,09
3,09,9,13
3,14,19,16
13,09,16,13
1,07,3,07
18,16,29,16
4,14,15,16
29,09,8,16
9,11,1,17
24,03,1,06
19,11,1,20
9,08,15,17
19,22,18,22
1,22,23,22
1,08,2,14
17,10,19,13
11,06,3,09
29,12,9,12
8,21,1,21
19,06,9,08
19,18,8,18
11,08,19,08
8,06,11,06
9,09,24,10
9,05,19,18
16,10,4,13
18,05,8,11
1,22,11,04
10,08,9,13
1,23,19,04
9,07,8,08
8,05,13,06
2,15,23,15
18,20,24,23
1,17,18,23
15,14,12,15
15,11,17,14
9,16,15,17
9,14,17,15
3,11,15,13
18,10,3,12
16,07,20,12
18,07,9,12
8,09,18,10
28,11,15,12
28,08,15,12
17,07,29,11
29,12,28,14
8,20,4,20
20,05,22,10
3,03,10,06
28,18,9,19
18,13,3,13
9,09,10,13
29,11,19,13
9,07,18,13
9,05,15,14
18,10,29,11
9,11,3,14
3,11,15,13
19,10,8,10
11,19,9,21
9,12,2,13
3,06,11,12
19,10,24,12
19,08,1,09
4,10,19,11
3,16,28,01
29,17,13,18
8,03,29,06
9,11,22,12
29,07,8,12
10,09,3,11
1,12,8,16
8,10,24,12
19,09,15,15
1,11,3,12
23,07,3,11
3,08,29,20
29,12,8,12
28,11,23,14
3,06,19,13
9,08,1,09
9,15,20,19
1,09,16,19
2,09,10,14
16,12,17,16
4,09,8,13
15,08,8,12
9,11,3,19
23,07,11,17
17,10,1,11
8,08,28,13
4,11,17,18
23,09,29,15
17,15,4,15
2,08,17,15
29,14,16,15
15,15,28,16
13,10,28,17
8,03,4,09
23,08,2,14
18,22,3,22
1,09,18,19
4,06,1,14
1,07,15,16
15,08,9,08
3,07,12,12
9,04,20,11
9,10,29,11
18,06,15,13
17,09,29,13
4,17,9,17
9,12,15,12
1,22,29,22
15,07,9,13
29,08,8,11
7,08,3,10
23,07,12,14
12,09,15,12
12,12,3,15
23,11,10,13
29,08,18,13
4,09,16,14
1,02,17,10
29,08,9,13
8,08,28,13
18,13,3,15
19,06,8,10
9,11,7,14
8,08,16,09
1,05,24,10
18,05,7,08
3,18,8,18
8,02,9,04
18,08,23,08
9,03,19,05
8,13,4,15
23,08,9,08
9,12,1,15
29,12,8,17
9,09,1,09
3,12,16,12
19,00,22,04
29,03,18,05
29,04,28,06
9,13,29,15
15,09,3,09
15,07,17,10
10,17,28,19
2,08,10,09
15,07,19,10
19,07,17,14
29,06,8,13
1,12,19,13
8,22,29,01
29,15,3,21
23,17,2,19
3,17,9,23
3,12,23,14
19,06,3,08
9,16,19,19
4,09,18,10
9,10,3,12
12,08,8,13
19,06,3,10
29,01,28,05
15,03,19,03
1,14,8,15
16,13,8,16
8,08,16,15
15,07,23,10
1,05,3,10
15,14,4,20
2,13,15,13
8,07,16,09
9,07,8,11
3,07,9,07
15,10,9,11
9,12,2,12
8,09,11,11
1,00,3,04
4,00,18,05
19,05,29,05
29,13,10,15
23,06,8,08
8,10,1,11
9,17,16,19
1,22,9,22
9,11,11,16
9,16,29,19
9,08,1,08
23,09,1,14
19,20,1,05
29,10,3,13
19,08,22,09
15,13,9,14
9,09,3,14
29,18,8,19
28,17,9,20
1,09,19,17
15,07,8,16
9,13,1,14
9,09,8,15
9,10,8,10
8,18,12,20
1,12,9,15
1,11,29,19
1,11,15,12
8,13,19,14
19,16,1,17
4,07,29,14
29,09,19,13
15,13,11,17
29,09,16,15
11,13,16,19
9,05,15,08
4,00,19,08
8,09,19,13
1,08,9,08
3,12,1,13
2,11,8,13
9,08,3,09
9,15,10,17
2,13,10,20
9,13,15,15
8,09,29,10
4,08,24,10
3,18,29,18
17,12,19,14
29,10,19,11
9,11,2,12
23,21,4,21
24,17,4,17
15,08,10,12
19,05,8,16
9,16,19,19
8,10,1,10
19,17,16,08
19,01,15,09
15,08,19,10
29,10,2,11
9,12,2,14
10,11,19,14
22,18,15,19
17,15,11,17
18,07,9,11
23,09,19,10
23,07,16,13
3,10,28,11
4,12,3,15
9,09,18,11
29,04,28,07
29,07,1,08
7,09,9,10
9,12,8,17
29,07,19,18
4,07,15,16
1,13,9,13
11,06,8,13
3,21,9,21
9,12,19,13
19,09,9,13
11,16,16,18
13,10,2,12
1,21,18,21
8,21,1,21
8,06,29,12
10,10,8,15
18,10,10,14
1,10,9,13
1,08,24,11
19,15,29,16
1,07,18,10
18,18,19,18
29,20,9,20
9,10,1,10
