0,1,2,3
20,13,2,17
2,11,16,13
2,6,26,14
28,11,13,12
11,10,28,18
9,10,15,11
12,14,1,15
19,6,28,8
12,6,2,13
1,9,21,11
13,2,16,6
9,13,2,15
1,17,2,21
2,21,21,21
17,22,27,22
15,21,26,21
1,13,2,13
26,11,2,18
13,2,20,9
21,5,11,12
21,9,16,14
1,5,12,13
25,13,12,16
11,8,26,14
28,9,20,10
20,11,12,12
2,9,11,9
21,13,2,16
2,10,1,11
21,11,16,11
21,2,2,3
2,8,22,10
1,22,2,22
1,15,6,16
13,10,28,14
1,3,28,3
29,5,12,5
10,10,26,10
2,7,1,8
25,10,2,18
15,13,19,15
21,10,15,13
29,11,2,14
10,9,26,11
26,9,20,13
11,1,9,6
16,8,21,9
1,10,2,13
26,0,9,2
13,4,26,9
1,21,20,21
2,8,21,12
2,10,26,11
11,16,28,18
11,8,2,10
2,14,10,16
16,9,21,11
12,4,2,5
9,10,15,12
1,5,6,16
10,9,21,12
2,10,12,16
2,10,28,15
16,8,12,11
13,12,11,14
19,14,26,16
20,13,2,15
20,14,16,14
21,8,11,10
11,8,10,17
1,4,13,6
1,15,20,17
20,11,16,12
21,13,2,17
1,13,11,17
1,10,2,10
26,14,20,17
13,11,28,16
2,15,13,17
21,13,2,14
16,9,20,13
16,9,20,13
2,7,21,8
10,13,2,0
10,9,15,9
2,8,13,9
2,10,21,11
26,11,2,13
21,11,2,18
16,9,1,13
16,8,2,9
27,8,26,13
2,7,13,8
16,12,1,14
13,13,21,14
