0,1,2,3
20,13,2,17
13,09,2,13
2,11,16,13
2,06,26,14
28,11,13,12
11,10,28,18
2,07,14,12
9,10,15,11
12,14,1,15
19,06,28,08
12,06,2,13
28,12,16,16
1,09,21,11
13,02,16,06
9,13,2,15
1,17,2,21
2,21,21,21
16,21,26,21
17,22,27,22
15,21,26,21
1,13,2,13
26,11,2,18
13,02,20,09
21,05,11,12
21,09,16,14
1,05,12,13
25,13,12,16
11,08,26,14
28,09,20,10
20,11,12,12
2,09,11,09
21,13,2,16
2,10,1,11
2,09,20,12
21,11,16,11
21,02,2,03
2,08,22,10
1,22,2,22
16,11,13,15
1,15,6,16
13,10,28,14
1,03,28,03
1,07,9,08
29,05,12,05
10,10,26,10
15,10,25,15
10,13,25,16
2,07,1,08
25,10,2,18
15,13,19,15
21,10,15,13
29,11,2,14
10,09,26,11
26,09,20,13
11,01,9,06
16,08,21,09
1,10,2,13
26,00,9,02
13,04,26,09
1,21,20,21
2,08,21,12
2,10,26,11
11,16,28,18
13,08,12,15
11,08,2,10
2,14,10,16
16,09,21,11
12,04,2,05
20,14,1,15
9,10,15,12
9,11,1,20
1,05,6,16
10,09,21,12
2,10,12,16
21,13,20,20
2,10,28,15
16,08,12,11
13,12,11,14
19,14,26,16
8,15,16,16
15,21,12,21
20,13,2,15
20,14,16,14
21,08,11,10
11,08,10,17
1,04,13,06
1,15,20,17
20,11,16,12
21,13,2,17
1,13,11,17
1,10,2,10
26,14,20,17
13,11,28,16
2,15,13,17
21,13,2,14
16,09,20,13
16,09,20,13
2,07,21,08
10,13,2,00
10,09,15,09
2,08,13,09
2,10,21,11
26,11,2,13
21,11,2,18
16,09,1,13
15,09,9,10
16,08,2,09
27,08,26,13
2,07,13,08
16,12,1,14
26,17,28,18
13,13,21,14
