0,1,2,3
40,9,14,16
40,9,32,10
16,5,22,5
23,12,3,18
41,9,50,18
82,9,84,13
41,6,84,10
71,21,27,8
9,13,81,14
78,5,71,17
50,16,40,1
2,13,15,17
2,6,71,15
71,6,0,10
21,4,44,10
17,9,9,9
74,8,76,8
46,13,8,15
2,5,75,12
9,15,19,23
32,10,8,10
44,10,43,10
71,10,9,10
41,16,71,18
50,17,35,17
44,11,9,11
12,7,44,14
73,5,2,7
85,5,25,9
82,9,26,10
71,10,84,14
15,11,13,13
4,13,81,15
15,6,71,6
81,2,45,6
45,7,85,9
35,23,78,1
71,7,41,12
72,12,57,17
82,0,71,1
35,4,63,5
76,14,68,21
39,20,78,21
71,14,81,17
84,12,50,13
71,6,81,17
32,8,51,13
49,7,23,11
44,0,0,3
71,6,41,8
27,6,9,8
26,9,45,12
71,8,81,13
35,12,71,14
45,9,0,9
22,15,41,17
17,11,13,11
71,13,45,14
81,13,15,15
82,12,15,14
9,20,35,22
40,22,36,22
4,19,35,20
23,4,13,4
35,12,81,14
31,22,40,22
23,14,35,15
35,7,0,11
19,7,4,13
22,9,16,10
73,6,19,6
67,11,22,16
81,11,2,13
41,10,9,13
41,8,26,15
82,8,25,12
24,4,82,14
46,20,71,20
85,3,25,17
35,23,14,23
9,10,32,11
31,23,32,0
26,23,71,3
84,4,22,4
31,17,23,19
22,9,40,11
50,6,22,10
82,3,15,3
42,6,50,8
32,9,57,13
50,9,63,9
27,10,36,14
32,14,24,17
18,13,14,18
44,11,71,12
60,23,10,0
17,19,36,22
82,12,45,14
27,6,13,10
19,19,74,10
71,9,9,11
4,7,31,9
9,15,68,16
71,19,20,6
71,8,51,17
32,9,27,16
50,13,41,21
27,12,82,16
26,15,45,17
18,12,32,14
16,11,32,12
50,10,2,16
23,9,70,13
35,6,71,12
40,3,50,8
71,9,25,19
35,16,50,16
35,13,8,14
14,19,40,20
35,4,40,5
40,19,14,20
70,8,13,8
21,7,27,19
81,14,25,15
78,23,81,6
41,20,84,21
35,8,50,11
31,12,50,19
71,3,45,7
41,15,21,17
51,14,43,21
2,11,35,18
32,11,9,14
32,3,70,6
78,14,72,14
71,10,45,16
84,12,32,16
32,7,71,13
23,9,26,13
26,9,71,18
9,12,71,14
31,16,44,17
85,12,63,17
44,1,81,5
84,15,15,16
45,6,25,13
81,9,62,10
23,6,32,8
71,13,26,15
71,9,74,10
44,9,35,11
82,8,72,14
19,12,68,14
9,6,85,9
41,11,40,12
26,9,81,11
22,6,49,13
71,16,17,17
81,17,68,18
2,12,71,12
41,8,2,17
23,8,61,9
29,16,44,17
71,9,42,11
82,5,50,14
9,12,50,17
37,8,22,14
48,9,53,11
41,7,82,11
45,21,82,5
35,19,41,22
44,16,82,20
31,8,32,9
42,8,70,9
85,16,15,16
71,11,15,12
85,12,25,14
81,13,68,16
71,6,8,12
1,8,40,13
71,16,25,18
48,10,67,12
19,8,22,15
82,13,25,16
71,9,50,10
81,16,9,17
38,11,35,13
32,14,84,4
84,11,22,15
39,8,41,11
37,15,52,16
14,11,26,20
35,1,81,2
25,1,68,3
14,11,2,13
15,7,71,8
55,7,56,10
51,9,73,11
70,15,13,15
15,15,85,16
40,17,51,19
44,16,81,18
50,13,75,13
82,12,41,16
11,22,9,23
71,10,52,11
41,9,67,11
23,11,18,11
57,16,82,16
21,12,73,20
47,10,73,18
39,12,41,12
9,23,44,4
45,0,9,5
71,20,82,11
40,20,57,22
5,14,35,16
35,11,26,15
9,9,71,15
