0,1,2,3
81,12,55,13
40,09,14,16
40,09,32,10
16,05,22,05
23,12,3,18
41,09,50,18
82,09,84,13
41,06,84,10
71,21,27,08
9,13,81,14
78,05,71,17
50,16,40,01
2,13,15,17
2,06,71,15
71,06,0,10
21,04,44,10
15,13,40,13
17,09,9,09
71,15,32,16
71,09,85,10
74,08,76,08
46,13,8,15
2,05,75,12
50,12,9,16
15,15,32,17
9,15,19,23
32,10,8,10
44,10,43,10
2,07,0,12
71,10,9,10
41,16,71,18
50,17,35,17
44,11,9,11
27,14,71,15
12,07,44,14
73,05,2,07
85,05,25,09
82,09,26,10
71,10,84,14
15,11,13,13
4,13,81,15
15,06,71,06
81,02,45,06
45,07,85,09
35,23,78,01
71,07,41,12
72,12,57,17
4,21,32,01
82,00,71,01
71,05,31,06
35,04,63,05
69,09,27,13
76,14,68,21
39,20,78,21
68,17,85,18
71,14,81,17
84,12,50,13
45,13,15,16
71,06,81,17
32,08,51,13
49,07,23,11
44,00,0,03
71,06,41,08
27,06,9,08
26,09,45,12
9,11,39,12
71,08,81,13
35,12,71,14
45,09,0,09
22,15,41,17
17,11,13,11
71,13,45,14
81,13,15,15
82,12,15,14
9,20,35,22
40,22,36,22
4,19,35,20
23,04,13,04
35,12,81,14
71,08,75,12
31,22,40,22
23,14,35,15
35,07,0,11
19,07,4,13
22,09,16,10
73,06,19,06
67,11,22,16
14,17,84,19
81,11,2,13
41,10,9,13
41,08,26,15
82,08,25,12
24,04,82,14
46,20,71,20
85,03,25,17
35,23,14,23
9,10,32,11
13,04,39,05
31,23,32,00
26,23,71,03
50,07,81,16
81,08,50,09
84,04,22,04
31,17,23,19
22,09,40,11
50,06,22,10
42,04,25,11
82,03,15,03
42,06,50,08
32,09,57,13
50,09,63,09
27,10,36,14
15,13,8,13
32,14,24,17
18,13,14,18
44,11,71,12
46,03,82,03
60,23,10,00
17,19,36,22
82,12,45,14
27,06,13,10
19,19,74,10
71,09,9,11
4,07,31,09
9,15,68,16
71,19,20,06
71,08,51,17
32,09,27,16
50,13,41,21
27,12,82,16
26,15,45,17
18,12,32,14
16,11,32,12
50,10,2,16
23,09,70,13
35,06,71,12
84,07,81,14
40,03,50,08
9,17,46,23
71,09,25,19
35,16,50,16
35,13,8,14
14,19,40,20
35,04,40,05
40,19,14,20
70,08,13,08
53,08,45,16
21,07,27,19
81,14,25,15
78,23,81,06
41,20,84,21
35,08,50,11
31,12,50,19
71,03,45,07
5,08,27,18
41,15,21,17
51,14,43,21
2,11,35,18
32,11,9,14
32,03,70,06
78,14,72,14
71,10,45,16
84,12,32,16
32,07,71,13
23,09,26,13
32,10,36,17
85,09,35,15
26,09,71,18
9,12,71,14
31,16,44,17
85,12,63,17
44,01,81,05
84,15,15,16
81,13,26,20
45,06,25,13
81,09,62,10
68,08,21,18
23,06,32,08
71,13,26,15
71,09,74,10
44,09,35,11
82,08,72,14
19,12,68,14
9,06,85,09
41,11,40,12
26,09,81,11
21,05,22,12
22,06,49,13
71,16,17,17
81,17,68,18
2,12,71,12
41,08,2,17
23,08,61,09
29,16,44,17
71,09,42,11
82,05,50,14
9,12,50,17
49,09,68,13
37,08,22,14
40,03,9,08
48,09,53,11
41,07,82,11
45,21,82,05
35,19,41,22
70,07,71,08
44,16,82,20
31,08,32,09
42,08,70,09
85,16,15,16
41,12,45,15
71,11,15,12
85,12,25,14
81,13,68,16
71,06,8,12
1,08,40,13
71,16,25,18
48,10,67,12
82,09,2,14
19,08,22,15
0,11,81,13
82,13,25,16
71,09,50,10
81,16,9,17
38,11,35,13
32,14,84,04
84,11,22,15
39,08,41,11
37,15,52,16
14,11,26,20
16,10,18,14
35,01,81,02
25,01,68,03
14,11,2,13
15,07,71,08
55,07,56,10
51,09,73,11
70,15,13,15
15,15,85,16
40,17,51,19
44,16,81,18
50,13,75,13
21,09,76,14
82,12,41,16
11,22,9,23
71,10,52,11
41,09,67,11
23,11,18,11
57,16,82,16
21,12,73,20
47,10,73,18
39,12,41,12
9,23,44,04
45,00,9,05
71,20,82,11
40,20,57,22
5,14,35,16
35,11,26,15
9,09,71,15
82,13,17,15
69,13,2,14
71,04,82,07
81,09,78,11
82,09,70,10
0,10,71,11
37,09,82,10
9,12,71,13
22,11,50,14
71,12,70,13
9,08,18,11
50,06,49,11
19,07,32,09
32,07,68,09
2,09,47,11
23,15,9,19
81,06,40,09
81,09,35,16
22,04,49,11
35,13,17,13
24,02,4,02
45,01,35,02
17,02,85,03
50,11,33,13
31,13,50,13
44,11,71,15
18,07,13,23
73,07,32,09
45,18,71,18
35,06,41,12
2,06,49,11
81,06,72,09
39,08,50,11
81,17,45,02
25,17,71,20
32,09,23,09
71,10,37,13
23,11,74,20
32,16,28,18
31,09,11,18
9,12,13,12
75,17,36,20
71,09,50,13
71,18,45,03
