0,1,2,3
21,17,6,17
21,16,3,17
2,08,8,13
22,05,2,15
20,08,21,11
10,16,21,17
6,03,5,09
23,15,20,19
20,03,8,05
8,11,21,16
2,11,28,19
5,15,21,19
2,07,8,17
10,10,7,15
8,10,5,18
8,14,5,21
2,02,8,06
15,06,6,13
25,09,20,20
5,21,7,03
5,11,24,18
20,16,8,04
8,07,10,13
20,10,6,15
24,08,21,16
20,09,5,16
5,06,1,08
1,05,20,14
21,06,20,12
20,08,15,13
18,05,6,11
20,11,6,19
5,04,6,10
22,20,21,20
28,11,20,13
20,06,3,15
8,12,1,16
6,14,21,19
16,22,6,22
1,10,28,17
5,10,21,17
21,11,20,15
22,11,5,19
15,06,8,11
20,12,2,16
5,09,22,13
8,04,6,15
