0,1,2,3
28,21,22,0
22,12,21,12
21,6,30,9
16,7,22,13
7,14,22,15
7,11,28,13
16,23,30,23
30,11,8,13
16,9,30,14
22,8,16,9
8,16,22,19
16,7,8,9
21,14,11,14
30,18,6,19
30,9,23,14
23,3,16,3
17,14,14,18
28,8,21,14
16,16,23,23
16,23,23,0
22,13,16,15
7,11,8,12
22,8,28,19
23,21,16,21
21,18,24,19
7,14,1,17
22,14,23,14
22,5,25,7
23,7,30,13
13,9,29,14
22,14,21,16
7,6,8,9
3,7,22,8
7,17,30,19
7,6,23,8
21,18,1,20
7,10,23,13
23,23,28,2
7,15,23,18
21,14,22,14
28,8,30,16
30,15,6,17
30,10,7,11
28,10,21,10
22,15,30,16
7,15,30,16
7,16,22,21
7,10,28,10
28,0,22,3
28,9,21,9
30,6,7,14
7,10,28,18
8,6,23,15
30,6,23,9
23,10,30,10
23,9,22,10
7,10,30,15
23,12,28,16
23,10,30,19
1,6,7,14
8,11,7,16
28,15,21,16
7,11,30,16
21,11,30,16
23,11,30,16
8,11,16,15
22,1,30,3
7,10,11,16
29,10,21,17
30,13,21,18
21,15,30,16
29,14,21,18
7,13,23,19
21,15,28,15
30,15,23,16
30,15,21,16
7,23,29,2
24,12,28,19
24,9,28,17
23,15,7,17
25,13,29,13
16,17,7,17
7,11,16,13
16,6,8,10
7,12,28,19
16,7,13,13
11,20,21,22
10,20,22,23
23,22,28,23
6,6,26,14
21,14,24,19
21,20,28,7
8,16,4,17
16,7,21,17
28,21,7,0
8,10,16,11
22,15,8,15
28,12,23,13
16,9,21,13
8,12,1,17
16,9,13,13
30,10,21,11
21,12,30,16
16,8,22,10
8,10,16,11
16,17,7,17
21,12,28,13
28,19,27,22
28,13,21,19
7,11,16,14
24,14,30,16
28,1,27,1
28,14,25,16
30,12,21,18
22,8,11,9
22,10,30,11
7,6,30,15
22,13,23,14
23,10,22,11
22,12,1,15
8,8,29,11
30,9,4,14
21,14,22,14
2,12,14,15
8,12,7,13
17,9,14,15
17,14,11,20
7,9,23,13
7,9,29,13
30,12,16,17
22,8,7,8
22,6,6,15
23,22,21,22
6,9,22,11
22,14,16,17
7,6,6,13
30,14,4,17
24,12,21,14
23,13,22,14
23,8,22,20
21,14,22,16
7,5,22,7
16,12,6,21
21,16,1,21
1,15,7,16
24,11,21,14
23,8,21,10
22,14,6,15
7,19,16,19
2,14,17,15
22,14,21,15
22,9,21,14
21,17,28,19
30,12,7,12
25,14,7,16
23,9,22,10
23,12,21,13
11,11,7,13
28,8,4,10
7,8,23,10
28,21,23,21
6,12,4,16
16,7,21,13
6,12,28,13
21,9,4,10
28,11,6,12
23,7,3,15
23,6,21,16
23,11,28,12
22,19,30,23
30,9,7,11
28,12,21,15
29,16,21,18
8,8,16,12
22,7,3,19
8,4,22,16
8,5,22,18
16,10,25,20
21,15,22,17
16,13,28,17
30,3,22,8
21,17,4,18
21,7,11,11
7,7,6,8
25,12,30,15
8,16,1,21
21,17,3,21
28,1,22,1
8,12,7,17
30,10,22,14
30,14,21,15
4,19,1,19
23,5,16,6
22,13,4,16
13,8,16,13
6,16,22,19
22,9,4,13
7,8,25,12
22,14,21,14
28,9,16,10
2,11,14,13
23,17,29,17
4,7,8,10
7,9,16,12
22,17,28,17
22,8,16,11
16,6,28,9
4,11,8,11
22,14,30,20
11,7,2,15
27,20,23,23
16,13,29,16
16,11,25,14
21,9,28,12
27,7,8,11
23,20,21,21
21,11,23,16
21,8,30,10
22,8,21,9
23,19,21,1
22,12,11,14
16,13,6,15
6,9,11,13
22,8,28,9
28,11,21,12
11,7,15,9
30,2,8,4
6,17,11,19
23,15,30,21
16,6,8,12
30,20,21,21
22,12,16,13
22,15,21,16
4,9,17,15
7,17,29,2
21,12,3,13
3,12,22,12
30,10,16,11
21,12,1,18
6,19,7,1
21,16,23,17
3,17,22,18
6,20,21,21
21,14,6,17
22,14,11,21
28,11,21,15
2,10,14,15
7,20,30,3
22,9,3,19
23,7,21,12
22,10,28,20
22,11,21,12
7,11,16,16
30,9,23,12
13,12,16,18
7,10,30,10
7,8,8,9
30,5,16,19
30,9,7,17
6,8,8,14
28,12,7,14
22,7,16,17
7,12,16,19
22,14,23,14
23,12,16,16
11,12,7,20
6,19,28,23
22,9,8,13
28,18,23,19
21,13,28,14
7,7,11,10
7,6,8,15
2,13,17,16
28,10,16,16
23,7,24,10
22,21,21,22
28,15,30,16
21,14,28,16
11,9,15,15
16,14,29,16
11,15,21,20
22,14,21,16
28,16,21,17
23,16,3,22
