0,1,2,3
7,08,27,14
28,21,22,00
22,12,21,12
3,10,27,12
21,06,30,09
3,21,30,01
16,07,22,13
27,09,11,12
7,14,22,15
7,11,28,13
16,23,30,23
30,11,8,13
16,09,30,14
22,08,16,09
8,16,22,19
16,07,8,09
21,14,11,14
30,18,6,19
30,09,23,14
23,03,16,03
16,15,27,21
17,14,14,18
28,08,21,14
16,16,23,23
16,23,23,00
25,06,15,08
22,13,16,15
7,11,8,12
22,08,28,19
23,21,16,21
21,18,24,19
7,14,1,17
22,14,23,14
22,05,25,07
23,07,30,13
13,09,29,14
22,14,21,16
7,06,8,09
3,07,22,08
7,17,30,19
7,06,23,08
21,18,1,20
7,10,23,13
23,23,28,02
7,15,23,18
21,14,22,14
28,08,30,16
30,15,6,17
30,10,7,11
28,10,21,10
22,15,30,16
7,15,30,16
7,16,22,21
7,10,28,10
28,00,22,03
28,09,21,09
30,06,7,14
7,10,28,18
8,06,23,15
30,06,23,09
23,10,30,10
23,09,22,10
7,10,30,15
23,12,28,16
23,10,30,19
1,06,7,14
8,11,7,16
28,15,21,16
7,11,21,16
7,11,30,16
21,11,30,16
23,11,30,16
8,11,16,15
22,01,30,03
7,10,11,16
29,10,21,17
30,13,21,18
21,15,30,16
29,14,21,18
7,13,23,19
21,15,28,15
30,15,23,16
30,15,21,16
28,14,3,15
7,23,29,02
24,12,28,19
24,09,28,17
23,15,7,17
25,13,29,13
16,17,7,17
7,11,16,13
16,06,8,10
11,06,30,11
4,07,22,12
7,12,28,19
16,07,13,13
11,20,21,22
10,20,22,23
23,22,28,23
1,02,24,04
6,06,26,14
29,08,23,10
16,22,19,22
30,08,11,12
25,12,24,13
21,14,24,19
21,20,28,07
8,16,4,17
23,17,4,18
23,07,1,10
11,18,6,20
16,07,21,17
28,21,7,00
8,10,16,11
22,15,8,15
28,12,23,13
16,09,21,13
8,12,1,17
16,09,13,13
15,16,1,19
30,10,21,11
21,12,30,16
30,09,28,14
16,08,22,10
29,15,16,17
6,08,23,12
8,10,16,11
16,17,7,17
21,12,28,13
28,19,27,22
28,13,21,19
7,11,16,14
24,14,30,16
23,13,25,14
28,01,27,01
28,14,25,16
20,03,24,10
30,12,21,18
22,08,11,09
19,13,21,14
22,10,30,11
7,06,30,15
22,13,23,14
23,10,22,11
22,12,1,15
8,08,29,11
30,09,4,14
21,14,22,14
2,12,14,15
8,12,7,13
17,09,14,15
17,14,11,20
11,18,22,21
8,06,13,10
7,09,23,13
7,09,29,13
30,12,16,17
22,08,7,08
22,06,6,15
23,22,21,22
6,09,22,11
22,14,16,17
7,06,6,13
30,14,4,17
24,12,21,14
23,13,22,14
23,08,22,20
21,14,22,16
7,05,22,07
16,12,6,21
11,12,23,15
21,16,1,21
1,15,7,16
24,11,21,14
23,08,21,10
21,10,16,16
24,09,16,10
22,14,6,15
7,19,16,19
2,14,17,15
22,14,21,15
22,09,21,14
21,17,28,19
30,12,7,12
25,14,7,16
23,09,22,10
23,12,21,13
11,11,7,13
21,15,25,16
28,08,4,10
24,08,7,09
21,09,7,10
7,08,23,10
28,21,23,21
6,12,4,16
16,07,21,13
6,12,28,13
21,09,4,10
28,11,6,12
23,07,3,15
23,06,21,16
23,11,28,12
22,19,30,23
30,09,7,11
28,12,21,15
29,16,21,18
8,08,16,12
22,07,3,19
8,04,22,16
8,05,22,18
16,10,25,20
21,15,22,17
16,13,28,17
27,08,30,13
30,03,22,08
21,17,4,18
21,07,11,11
7,07,6,08
25,12,30,15
8,16,1,21
21,17,3,21
28,01,22,01
8,12,7,17
30,10,22,14
30,14,21,15
4,19,1,19
23,05,16,06
22,13,4,16
13,08,16,13
8,11,30,13
6,16,22,19
22,09,4,13
7,08,25,12
22,14,21,14
28,09,16,10
2,11,14,13
23,17,29,17
4,07,8,10
7,09,16,12
22,17,28,17
22,08,16,11
16,06,28,09
16,10,4,11
4,11,8,11
22,14,30,20
11,07,2,15
29,08,30,12
27,20,23,23
16,13,29,16
24,10,8,11
16,11,25,14
21,09,28,12
27,07,8,11
23,20,21,21
21,11,23,16
21,08,30,10
25,08,28,11
22,08,21,09
23,19,21,01
22,12,11,14
21,19,27,02
16,13,6,15
6,09,11,13
1,15,28,15
22,08,28,09
21,10,19,20
28,11,21,12
11,07,15,09
30,02,8,04
6,17,11,19
23,15,30,21
16,06,8,12
30,20,21,21
22,12,16,13
22,15,21,16
3,10,25,12
4,09,17,15
7,17,29,02
21,12,3,13
3,12,23,13
3,12,22,12
30,10,16,11
21,12,1,18
6,19,7,01
21,16,23,17
3,17,22,18
6,20,21,21
29,12,27,18
21,14,6,17
22,14,11,21
28,11,21,15
2,10,14,15
7,20,30,03
22,09,3,19
24,08,19,11
23,07,21,12
22,10,28,20
22,11,21,12
7,11,16,16
30,09,23,12
13,12,16,18
7,10,30,10
7,08,8,09
30,05,16,19
30,09,7,17
6,08,8,14
28,12,7,14
3,15,6,18
22,07,16,17
7,12,16,19
22,14,23,14
23,12,16,16
11,12,7,20
6,19,28,23
22,09,8,13
28,18,23,19
14,11,17,17
25,11,21,14
21,13,28,14
7,07,11,10
7,06,8,15
2,13,17,16
28,10,16,16
23,07,24,10
1,07,4,09
22,21,21,22
25,23,8,02
28,15,30,16
21,14,28,16
11,09,15,15
16,14,29,16
11,15,21,20
22,14,21,16
28,16,21,17
23,16,3,22
